,Year_sold,PARCEL,SequenceNum,SaleDate,SalePrice,PrPerSqFt,p_Cat,SQFT,YEAR,GARAGE,GARAGECAPA,POOLAREA,MAIN,CONTROL,ACTUAL,LASTACTION,Map,GISACRES,LON,LAT,URL,URL2,ZIP
1,2019,401554180,20191960498,201906,49000,61.79066835,6,793,1951,9,0,0,51267,51267,49985,19970605,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_08.PDF,0.155122,-112.8592656,32.37769019,www.tucsonaz.gov/pro/pdsd/parcel_search/401554180,http://gis.pima.gov/maps/detail.cfm?p=401554180,17517
3,2019,401554100,20190300552,201901,50500,63.68221942,6,793,1951,9,0,0,53101,53101,51773,20061129,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_08.PDF,0.14996301,-112.8614391,32.37827588,www.tucsonaz.gov/pro/pdsd/parcel_search/401554100,http://gis.pima.gov/maps/detail.cfm?p=401554100,85321
5,2019,401553650,20191970632,201907,58000,63.11207835,6,919,1953,3,1,0,60223,60223,58717,19970605,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_06.PDF,0.15843999,-112.8599698,32.37984171,www.tucsonaz.gov/pro/pdsd/parcel_search/401553650,http://gis.pima.gov/maps/detail.cfm?p=401553650,85321
8,2019,401553040,20190790260,201903,165000,105.9050064,10,1558,1969,1,3,0,109127,109127,106944,20180731,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_03.PDF,1.74711001,-112.8600435,32.38429228,www.tucsonaz.gov/pro/pdsd/parcel_search/401553040,http://gis.pima.gov/maps/detail.cfm?p=401553040,85321
9,2019,401552990,20190310520,201901,185000,112.1212121,11,1650,1930,6,2,0,114921,114921,110324,20170406,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_11.PDF,0.52354997,-112.8657383,32.36796124,www.tucsonaz.gov/pro/pdsd/parcel_search/401552990,http://gis.pima.gov/maps/detail.cfm?p=401552990,85321
10,2019,401552600,20191900155,201907,51750,60.1744186,6,860,1948,9,0,0,52763,52763,51444,19970604,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_10.PDF,0.154825,-112.8667266,32.37001407,www.tucsonaz.gov/pro/pdsd/parcel_search/401552600,http://gis.pima.gov/maps/detail.cfm?p=401552600,81147
11,2019,401552590,20191430576,201904,50000,64.1025641,6,780,1948,9,0,0,52008,52008,50708,19970604,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_10.PDF,0.154736,-112.866806,32.36988184,www.tucsonaz.gov/pro/pdsd/parcel_search/401552590,http://gis.pima.gov/maps/detail.cfm?p=401552590,83611
15,2019,401551820,20191511291,201905,89500,65.80882353,6,1360,1962,9,0,0,74313,74313,72455,20181115,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_05.PDF,0.155203,-112.8632191,32.37955439,www.tucsonaz.gov/pro/pdsd/parcel_search/401551820,http://gis.pima.gov/maps/detail.cfm?p=401551820,85321
20,2019,401550360,20191140352,201903,88900,68.59567901,6,1296,1973,3,1,0,80544,80544,78933,19970603,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_01.PDF,0.18366501,-112.8629675,32.38754534,www.tucsonaz.gov/pro/pdsd/parcel_search/401550360,http://gis.pima.gov/maps/detail.cfm?p=401550360,85321
21,2019,401550220,20190730597,201901,114000,87.96296296,8,1296,1973,1,2,0,92106,92106,90264,20091109,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_01.PDF,0.22018801,-112.8632536,32.38795227,www.tucsonaz.gov/pro/pdsd/parcel_search/401550220,http://gis.pima.gov/maps/detail.cfm?p=401550220,85321
23,2019,401550050,20191580750,201903,112500,86.80555556,8,1296,1973,1,1,0,81009,81009,79389,19970603,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_01.PDF,0.18572401,-112.8614982,32.3887023,www.tucsonaz.gov/pro/pdsd/parcel_search/401550050,http://gis.pima.gov/maps/detail.cfm?p=401550050,85321
24,2019,40138037C,20191690253,201905,69000,84.55882353,8,816,1962,3,1,0,52203,52203,47505,20150126,http://www.asr.pima.gov/ParcelData/Map/Arm/T13S/1305W253.PDF,1.25855005,-112.7428766,32.26297468,www.tucsonaz.gov/pro/pdsd/parcel_search/40138037C,http://gis.pima.gov/maps/detail.cfm?p=40138037C,85321
27,2019,401260300,20190840383,201902,135000,99.85207101,9,1352,1965,3,2,0,72699,72699,86512,20100708,http://www.asr.pima.gov/ParcelData/Map/Arm/MP09/09058_02.PDF,0.387431,-112.8797963,32.37274825,www.tucsonaz.gov/pro/pdsd/parcel_search/401260300,http://gis.pima.gov/maps/detail.cfm?p=401260300,85321
28,2019,401260110,20190450530,201901,140000,83.33333333,8,1680,1959,1,1,0,82035,82035,97622,19970602,http://www.asr.pima.gov/ParcelData/Map/Arm/MP09/09058_01.PDF,0.32347399,-112.8808197,32.37300455,www.tucsonaz.gov/pro/pdsd/parcel_search/401260110,http://gis.pima.gov/maps/detail.cfm?p=401260110,85321
30,2019,401251210,20190880210,201903,10000,16.94915254,1,590,1937,3,1,0,40518,40518,38492,19970603,http://www.asr.pima.gov/ParcelData/Map/Arm/MP06/06072_02.PDF,0.155001,-112.869564,32.37594721,www.tucsonaz.gov/pro/pdsd/parcel_search/401251210,http://gis.pima.gov/maps/detail.cfm?p=401251210,85321
31,2019,401251110,20192060487,201907,49250,98.10756972,9,502,1937,9,0,0,35099,35099,33344,19970603,http://www.asr.pima.gov/ParcelData/Map/Arm/MP06/06072_03.PDF,0.153915,-112.8685513,32.3759933,www.tucsonaz.gov/pro/pdsd/parcel_search/401251110,http://gis.pima.gov/maps/detail.cfm?p=401251110,85341
32,2019,401250820,20190500395,201902,75000,96.15384615,9,780,1937,3,1,0,45350,45350,43083,19970604,http://www.asr.pima.gov/ParcelData/Map/Arm/MP06/06072_04.PDF,0.155883,-112.865853,32.37611572,www.tucsonaz.gov/pro/pdsd/parcel_search/401250820,http://gis.pima.gov/maps/detail.cfm?p=401250820,85321
